dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_550', '01_HOOFD_570')",0.23919451609960696
BPIC15,AggregateType.AVG,0.3,"('07_OPS_070', '07_OPS_080_1')",1.5700093424450108
BPIC15,AggregateType.AVG,0.3,"('07_OPS_080_1', '07_OPS_080_2')",1.3894287179264158
BPIC15,AggregateType.AVG,0.3,"('07_OPS_080_2', '08_AWB45_020_1')",0.40146166657693194
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_190', '01_HOOFD_195')",0.006157824678832032
BPIC15,AggregateType.AVG,0.3,"('10_UOV_065', '10_UOV_066')",0.6951650192297141
BPIC15,AggregateType.AVG,0.3,"('10_UOV_080', '10_UOV_100')",0.051071551721451725
BPIC15,AggregateType.AVG,0.3,"('10_UOV_120', '10_UOV_140')",0.1341414450378613
BPIC15,AggregateType.AVG,0.3,"('10_UOV_140', '10_UOV_150')",0.757785518748302
BPIC15,AggregateType.AVG,0.3,"('10_UOV_150', '10_UOV_160')",1.1008896158247186
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_110_2', '01_HOOFD_180')",0.004287672595825226
BPIC15,AggregateType.AVG,0.3,"('10_UOV_180', '10_UOV_190_1')",0.15882368182594253
BPIC15,AggregateType.AVG,0.3,"('10_UOV_190_1', '10_UOV_190_2')",0.12638736946157003
BPIC15,AggregateType.AVG,0.3,"('10_UOV_190_2', '10_UOV_210')",0.005161666362298867
BPIC15,AggregateType.AVG,0.3,"('10_UOV_210', '11_AH_II_010')",0.24765550321926735
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_090_1', '08_AWB45_110')",0.15024749564569437
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_110', '08_AWB45_150')",0.1777655648906721
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_180', '01_HOOFD_800')",0.5196048055449527
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_130', '01_HOOFD_140')",0.5298137985280846
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_200', '01_HOOFD_280_1')",0.510120994245109
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_280_1', '01_HOOFD_280_2')",0.03612709707469519
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_280_2', '01_HOOFD_250_1')",0.2882732201882521
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_250_2', '08_AWB45_WAW_010')",1.0060477402177694
BPIC15,AggregateType.AVG,0.3,"('14_VRIJ_010', '03_GBH_005')",0.002551326793704033
BPIC15,AggregateType.AVG,0.3,"('07_OPS_010', '06_VD_010')",0.01721410482007205
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_445', '01_HOOFD_446')",0.0016890584023253872
