dataset,aggregate_type,delta,edge,APE_time
BPIC15,AggregateType.AVG,0.2,"('12_AP_UOV_011', '12_AP_UOV_030')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_UOV_030', '12_AP_UOV_050')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_UOV_050', '10_UOV_170')",0.0
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_010', '12_AP_UOV_020_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_UOV_020_1', '01_HOOFD_520')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_160', '12_AP_UOV_020_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_UOV_020_2', '01_HOOFD_530')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_030_2', '05_EIND_060')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_375', '01_HOOFD_460')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_060_2', '09_AWB45_005')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_060_2', '01_HOOFD_495')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_545', '01_BB_546')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_546', '01_BB_590')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_590', '01_BB_550_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_550_1', '01_BB_550_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_550_2', '01_BB_630')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_740', '01_BB_755')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_755', '01_BB_766')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_766', '01_HOOFD_490_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_210_2', '01_HOOFD_050')",0.0
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_010', '11_AH_II_030')",0.006068568384579963
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_020', '11_AH_II_036')",0.009088918658894529
BPIC15,AggregateType.AVG,0.2,"('11_AH_II_070_1', '11_AH_II_070_2')",0.025921842552579955
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_810', '01_HOOFD_270')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_065_2', '04_BPT_050')",0.0
