dataset,aggregate_type,delta,median_epsilon,MAPE,SMAPE
BPIC15,AggregateType.MIN,0.3,inf,58482.36418082949,0.6130998946107353
BPIC15,AggregateType.MIN,0.4,inf,48205.72028329836,0.9001884157038651
BPIC15,AggregateType.MIN,0.5,inf,33447.0679003838,0.4570354177204005
BPIC15,AggregateType.MIN,0.6,inf,31896.738568670895,0.3083017314185493
BPIC15,AggregateType.MIN,0.7,inf,22292.898944959205,0.21281701358945337
BPIC15,AggregateType.MIN,0.8,inf,13099.434890853152,0.16335307776908722
BPIC15,AggregateType.MIN,0.9,inf,9482.344919998894,0.12888095092525734
BPIC15,AggregateType.SUM,0.01,inf,5.601419826927727,0.3336593135122989
BPIC15,AggregateType.SUM,0.05,inf,1.181383913010602,0.19807516449507928
BPIC15,AggregateType.SUM,0.1,inf,0.6127529748373718,0.14457742301208104
BPIC15,AggregateType.SUM,0.2,inf,0.31590913735249415,0.09766095219315521
BPIC15,AggregateType.SUM,0.3,inf,0.21656904982788122,0.07527347780124667
BPIC15,AggregateType.SUM,0.4,inf,0.15533243405231925,0.05843404239910871
BPIC15,AggregateType.SUM,0.5,inf,0.09103695927818958,0.03606959441970207
BPIC15,AggregateType.SUM,0.6,inf,0.07072291738721932,0.02919572025820777
BPIC15,AggregateType.SUM,0.7,inf,0.04524192398494607,0.019305845341802193
BPIC15,AggregateType.SUM,0.8,inf,0.02658595193524658,0.011614693481056981
BPIC15,AggregateType.SUM,0.9,inf,0.012396839347109407,0.005592114205948356
BPIC17,AggregateType.AVG,0.01,0.0007908246235864855,2.2270844169978523,0.41057466535505516
BPIC17,AggregateType.AVG,0.05,0.0035651694131582567,0.6913655052261187,0.1713878549700745
BPIC17,AggregateType.AVG,0.1,0.005957264514572213,0.4473576857888462,0.12761731002294147
BPIC17,AggregateType.AVG,0.2,0.011366953725283018,0.34784960356549843,0.09590099849809078
BPIC17,AggregateType.AVG,0.3,0.015560569683531669,0.2786124604769153,0.0790409047893302
BPIC17,AggregateType.AVG,0.4,0.02021579544905153,0.2622060689754925,0.0705733300455165
BPIC17,AggregateType.AVG,0.5,0.026392645683880105,0.24437048951498247,0.06587689288815682
BPIC17,AggregateType.AVG,0.6,0.033953632928562814,0.22575915859205722,0.059624841658856384
BPIC17,AggregateType.AVG,0.7,0.04697619998502058,0.2124629761281777,0.05618192976047772
BPIC17,AggregateType.AVG,0.8,0.06429323348017815,0.16577105418126142,0.050388180469308
BPIC17,AggregateType.AVG,0.9,0.2525676039828699,0.13058471472766936,0.04129216655203473
BPIC17,AggregateType.FREQ,0.01,0.04000133341333913,7.247227220008613,0.48465897809988184
BPIC17,AggregateType.FREQ,0.05,0.20016691711396528,1.3019455736356733,0.24237784662525058
BPIC17,AggregateType.FREQ,0.1,0.40134139092430254,0.611276983495344,0.1575674736254593
BPIC17,AggregateType.FREQ,0.2,0.810930216216329,0.3433093086627347,0.10535529528584138
BPIC17,AggregateType.FREQ,0.3,1.2380784168124461,0.22720460248773106,0.07783177197616445
BPIC17,AggregateType.FREQ,0.4,1.6945957207744073,0.17108789269022678,0.06428483060836751
BPIC17,AggregateType.FREQ,0.5,2.197224577336219,0.13357307828689916,0.05248217544198882
BPIC17,AggregateType.FREQ,0.6,2.772588722239781,0.10263516503469224,0.04204409471564255
BPIC17,AggregateType.FREQ,0.7,3.4692021107762123,0.07552248476688486,0.03238835523787166
BPIC17,AggregateType.FREQ,0.8,4.394449154672437,0.06443180513229943,0.027868565547026956
BPIC17,AggregateType.FREQ,0.9,5.888877958332883,0.04571349829783601,0.02057478838642293
BPIC17,AggregateType.MAX,0.01,0.008970625613907891,23.939058937994627,1.0764610944479194
BPIC17,AggregateType.MAX,0.05,0.03600450050623726,5.132621814758891,0.7196529571039987
BPIC17,AggregateType.MAX,0.1,0.059144929726339265,2.629286753677551,0.5489206918709293
BPIC17,AggregateType.MAX,0.2,0.10181343298630308,1.386956290453158,0.3973874004726715
BPIC17,AggregateType.MAX,0.3,0.1618390481410801,0.977250154505454,0.31613823728815615
BPIC17,AggregateType.MAX,0.4,0.19839170482988402,0.7010101998989803,0.24817292649144057
BPIC17,AggregateType.MAX,0.5,0.25309066697975074,0.5147416226222244,0.19628162600652493
BPIC17,AggregateType.MAX,0.6,0.3918178518876047,0.4245163483414848,0.1666285653015791
BPIC17,AggregateType.MAX,0.7,0.4713754698906617,0.3544565740508593,0.14409526509918086
BPIC17,AggregateType.MAX,0.8,1.0463804924246267,0.25400032309011156,0.10690775197780615
BPIC17,AggregateType.MAX,0.9,25.177966717204153,0.16135291978966254,0.07016362231332215
BPIC17,AggregateType.MIN,0.01,9.405544562551693e-06,16625112.797550345,1.6611835470998488
BPIC17,AggregateType.MIN,0.05,3.217779789730985e-05,10370161.419311453,1.6192415444402808
BPIC17,AggregateType.MIN,0.1,4.421803804806924e-05,5790036.497205475,1.604718363739515
BPIC17,AggregateType.MIN,0.2,5.033712432867553e-05,5937805.918744158,1.5547011390862777
BPIC17,AggregateType.MIN,0.3,5.7484273217799154e-05,6040681.326255289,1.5263937056979895
BPIC17,AggregateType.MIN,0.4,7.929259401023367e-05,3586820.074474559,1.4976558051601885
BPIC17,AggregateType.MIN,0.5,0.0003425995296678883,3564278.303242256,1.4410413967490587
BPIC17,AggregateType.MIN,0.6,0.000403532839592692,3512178.709075907,1.387918111072231
BPIC17,AggregateType.MIN,0.7,0.0005762973673645716,3957989.8208145304,1.3214992529685687
BPIC17,AggregateType.MIN,0.8,0.00201606917387391,2381368.1931581153,1.217629358948284
BPIC17,AggregateType.MIN,0.9,0.09835443798649725,2804898.638146772,0.933944330427137
BPIC17,AggregateType.SUM,0.01,0.1897039596722618,6.442065070993641,0.5396256096616231
BPIC17,AggregateType.SUM,0.05,0.8595234696451917,1.3632110756325782,0.276355335248254
BPIC17,AggregateType.SUM,0.1,1.5009452010632018,0.6255847119187219,0.18259783091241702
BPIC17,AggregateType.SUM,0.2,2.1265939071845876,0.36353510993749694,0.12406384946615563
BPIC17,AggregateType.SUM,0.3,2.9495962711792036,0.2607307523143614,0.09857652650521095
BPIC17,AggregateType.SUM,0.4,3.464845566548159,0.18942257364396906,0.07605774305137251
BPIC17,AggregateType.SUM,0.5,8.712937236639732,0.11931540082835772,0.051405818670223744
BPIC17,AggregateType.SUM,0.6,13.56727216139527,0.10125732528172429,0.04370240907873115
BPIC17,AggregateType.SUM,0.7,18.555063335266677,0.06505358381808013,0.02944761831521503
BPIC17,AggregateType.SUM,0.8,51.656074106650195,0.0442517495160487,0.02059229862686288
BPIC17,AggregateType.SUM,0.9,393.95269176544167,0.026889219524822865,0.012493896810551592
BPIC20,AggregateType.AVG,0.01,0.001429951621278003,0.2301493299177962,0.08776699616413931
BPIC20,AggregateType.AVG,0.05,0.006296194064650757,0.050825968476582925,0.022853468053506645
BPIC20,AggregateType.AVG,0.1,0.011679438330170377,0.0288583709359096,0.013538407354924004
BPIC20,AggregateType.AVG,0.2,0.021340407693853484,0.015900387181575,0.007652923360510162
BPIC20,AggregateType.AVG,0.3,0.029787373980130614,0.01245276442018744,0.0059625219000901345
BPIC20,AggregateType.AVG,0.4,0.04017443949537579,0.009236677806909583,0.00447348442622285
BPIC20,AggregateType.AVG,0.5,0.12084453225513678,0.008072974396139049,0.0038875908787567985
BPIC20,AggregateType.AVG,0.6,0.6753413756363703,0.006398936250174835,0.003119183730156129
BPIC20,AggregateType.AVG,0.7,inf,0.00625979455641641,0.0029844977029208552
BPIC20,AggregateType.AVG,0.8,inf,0.005152637778005669,0.002454710624412777
BPIC20,AggregateType.AVG,0.9,inf,0.003396656442588667,0.0016456398315672165
BPIC20,AggregateType.FREQ,0.01,0.04000133341333913,20.24333228452198,1.0716006802706566
BPIC20,AggregateType.FREQ,0.05,0.20016691711396528,4.196315020632609,0.6309612823639792
BPIC20,AggregateType.FREQ,0.1,0.40134139092430254,2.109780372343942,0.4533337589132162
BPIC20,AggregateType.FREQ,0.2,0.810930216216329,1.0866451451810983,0.3068088014539807
BPIC20,AggregateType.FREQ,0.3,1.2380784168124461,0.681586549650797,0.22438559946561792
BPIC20,AggregateType.FREQ,0.4,1.6945957207744073,0.5159570671761193,0.18380945557767303
BPIC20,AggregateType.FREQ,0.5,2.197224577336219,0.3804385294667822,0.14489247290279933
BPIC20,AggregateType.FREQ,0.6,2.772588722239781,0.30112504853528393,0.12094899979935728
BPIC20,AggregateType.FREQ,0.7,3.4692021107762123,0.2340528424512657,0.09713070488013778
BPIC20,AggregateType.FREQ,0.8,4.394449154672437,0.18967267276100805,0.08128428609367723
BPIC20,AggregateType.FREQ,0.9,5.888877958332883,0.14895961195930613,0.0658842668210345
BPIC20,AggregateType.MAX,0.01,0.008783902558688734,24.035104698908125,0.969576712314144
BPIC20,AggregateType.MAX,0.05,0.03959747504394364,4.978554508238782,0.6508007079916391
BPIC20,AggregateType.MAX,0.1,0.07332750995589696,2.558701744606273,0.5001493076441585
BPIC20,AggregateType.MAX,0.2,0.14095242898295632,1.3119724835291915,0.35044553156280156
BPIC20,AggregateType.MAX,0.3,0.20973815871469764,0.8488308195790483,0.2677814956904053
BPIC20,AggregateType.MAX,0.4,0.28841925814627895,0.627899861145579,0.21788977347664984
BPIC20,AggregateType.MAX,0.5,0.4891672951347815,0.4269297818380838,0.1574021546885344
BPIC20,AggregateType.MAX,0.6,1.0214033809277312,0.3163903859042988,0.12267825342166598
BPIC20,AggregateType.MAX,0.7,inf,0.2090480085388995,0.0844671110836817
