dataset,aggregate_type,alpha,epsilon_freq,epsilon_time,delta_freq_median,delta_time_median,delta_freq_max,delta_time_max
Sepsis Cases - Event Log,AggregateType.SUM,0.5,0.005180168938119339,0.06110136985447562,0.04425156408849632,0.13453865804745124,0.206321201755929,0.7877654772634368
Sepsis Cases - Event Log,AggregateType.SUM,0.6,0.004316807448432782,0.050917808212063015,0.036883662897825534,0.11035590226788045,0.17269022739890405,0.7685764746724069
Sepsis Cases - Event Log,AggregateType.SUM,0.7,0.0037001206700852424,0.04364383561033973,0.03161837326507531,0.09022760967752341,0.1484141854523198,0.7393731893877499
Sepsis Cases - Event Log,AggregateType.SUM,0.8,0.0032376055863245863,0.038188356159047254,0.027668238052140248,0.07944409926059826,0.13008734588901147,0.7024395367532488
Sepsis Cases - Event Log,AggregateType.SUM,0.9,0.002877871632288521,0.033945205474708674,0.024595306814274,0.07094486551120394,0.11577075677355192,0.6609754701776938
Sepsis Cases - Event Log,AggregateType.MIN,0.01,0.25900844690596686,1.0,0.9764061253303925,0.8,0.9999999983777382,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.05,0.05180168938119338,0.624110890323748,0.4159666569454266,0.8,0.9700568870335003,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.1,0.02590084469059669,0.312055445161874,0.21785432244132,0.8,0.7804925557983173,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.2,0.012950422345298345,0.156027722580937,0.11025120665538204,0.8,0.4802543249647553,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.3,0.008633614896865564,0.10401848172062468,0.0736671087229037,0.8,0.3353788163644307,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.4,0.0064752111726491726,0.0780138612904685,0.055294146698917086,0.8,0.2558450974545741,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.5,0.005180168938119339,0.06241108903237481,0.04425156408849632,0.8,0.206321201755929,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.6,0.004316807448432782,0.05200924086031234,0.036883662897825534,0.8,0.17269022739890405,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.7,0.0037001206700852424,0.04457934930883916,0.03161837326507531,0.8,0.1484141854523198,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.8,0.0032376055863245863,0.03900693064523425,0.027668238052140248,0.8,0.13008734588901147,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MIN,0.9,0.002877871632288521,0.034672827240208225,0.024595306814274,0.8,0.11577075677355192,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MAX,0.01,0.25900844690596686,3.3754729842861866,0.9764061253303925,0.8125,0.9999999983777382,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MAX,0.05,0.05180168938119338,0.6750945968572374,0.4159666569454266,0.8125,0.9700568870335003,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.MAX,0.1,0.02590084469059669,0.3375472984286187,0.21785432244132,0.8124999999995768,0.7804925557983173,0.9988950275360283
Sepsis Cases - Event Log,AggregateType.MAX,0.2,0.012950422345298345,0.16877364921430935,0.11025120665538204,0.8124986458351671,0.4802543249647553,0.9986126074080206
Sepsis Cases - Event Log,AggregateType.MAX,0.3,0.008633614896865564,0.1125157661428729,0.0736671087229037,0.8123004881067624,0.3353788163644307,0.9865139141897744
Sepsis Cases - Event Log,AggregateType.MAX,0.4,0.0064752111726491726,0.08438682460715467,0.055294146698917086,0.7977689208671046,0.2558450974545741,0.9537077001513372
Sepsis Cases - Event Log,AggregateType.MAX,0.5,0.005180168938119339,0.06750945968572374,0.04425156408849632,0.7900990099009901,0.206321201755929,0.9046783625730994
Sepsis Cases - Event Log,AggregateType.MAX,0.6,0.004316807448432782,0.05625788307143645,0.036883662897825534,0.7545776533637186,0.17269022739890405,0.8477793306414433
Sepsis Cases - Event Log,AggregateType.MAX,0.7,0.0037001206700852424,0.04822104263265982,0.03161837326507531,0.7101131805800327,0.1484141854523198,0.7893305526886815
Sepsis Cases - Event Log,AggregateType.MAX,0.8,0.0032376055863245863,0.042193412303577336,0.027668238052140248,0.6679627477061955,0.13008734588901147,0.7334558887181151
Sepsis Cases - Event Log,AggregateType.MAX,0.9,0.002877871632288521,0.037505255380957635,0.024595306814274,0.6223176252456892,0.11577075677355192,0.6816190664338263
CreditRequirement,AggregateType.AVG,0.01,0.04589108306913892,4.180091544493941,0.01147226742799839,0.0,0.01147226742799839,0.0
CreditRequirement,AggregateType.AVG,0.05,0.009178216613827787,0.8360183088987879,0.0022945501265391323,0.0,0.0022945501265391323,0.0
CreditRequirement,AggregateType.AVG,0.1,0.004589108306913893,0.41800915444939396,0.0011472765733629702,0.0,0.0011472765733629702,0.0
CreditRequirement,AggregateType.AVG,0.2,0.0022945541534569467,0.20900457722469698,0.0005736384754435168,0.0,0.0005736384754435168,0.0
CreditRequirement,AggregateType.AVG,0.3,0.0015297027689712979,0.13933638481646468,0.0003824256735996763,0.0,0.0003824256735996763,0.0
CreditRequirement,AggregateType.AVG,0.4,0.0011472770767284733,0.10450228861234849,0.0002868192613170038,0.0,0.0002868192613170038,0.0
CreditRequirement,AggregateType.AVG,0.5,0.0009178216613827786,0.08360183088987881,0.00022945541131877482,0.0,0.00022945541131877482,0.0
CreditRequirement,AggregateType.AVG,0.6,0.0007648513844856489,0.06966819240823234,0.00019121284379101602,0.0,0.00019121284379101602,0.0
CreditRequirement,AggregateType.AVG,0.7,0.000655586900987699,0.059715593492770586,0.00016389672377938968,0.0,0.00016389672377938968,0.0
CreditRequirement,AggregateType.AVG,0.8,0.0005736385383642367,0.052251144306174245,0.00014340963360789366,0.0,0.00014340963360789366,0.0
CreditRequirement,AggregateType.AVG,0.9,0.0005099009229904325,0.04644546160548823,0.00012747523005709555,0.0,0.00012747523005709555,0.0
CreditRequirement,AggregateType.SUM,0.01,0.04589108306913892,16.720366177975762,0.01147226742799839,0.0,0.01147226742799839,0.0
CreditRequirement,AggregateType.SUM,0.05,0.009178216613827787,3.3440732355951517,0.0022945501265391323,0.0,0.0022945501265391323,0.0
CreditRequirement,AggregateType.SUM,0.1,0.004589108306913893,1.6720366177975758,0.0011472765733629702,0.0,0.0011472765733629702,0.0
CreditRequirement,AggregateType.SUM,0.2,0.0022945541534569467,0.8360183088987879,0.0005736384754435168,0.0,0.0005736384754435168,0.0
