dataset,aggregate_type,delta,epsilon_freq,epsilon_time,MAPE_freq,SMAPE_freq,MAPE_time,SMAPE_time
Sepsis Cases - Event Log,AggregateType.SUM,0.6,2.772588722239781,0.08188477872994854,0.00988708303301722,0.004852790068212046,0.04838728782520855,0.02142375375826179
Sepsis Cases - Event Log,AggregateType.SUM,0.7,3.4692021107762123,0.1168511927119814,0.00814900181677672,0.004011772142361414,0.03616730170621957,0.01634199159699894
Sepsis Cases - Event Log,AggregateType.SUM,0.8,4.394449154672438,0.1452035914716223,0.006314430885125308,0.003118928893835703,0.01640741425166152,0.007718156769388237
Sepsis Cases - Event Log,AggregateType.SUM,0.9,5.888877958332882,0.18579188257642085,0.004711984367031933,0.0023352663026941682,0.008626153747002815,0.004098805706671171
Sepsis Cases - Event Log,AggregateType.MIN,0.01,0.040001333413339134,4.882917581276476e-08,0.6940125713258343,0.18338287798182543,32398.217509857164,0.43462523999119074
Sepsis Cases - Event Log,AggregateType.MIN,0.05,0.20016691711396528,2.49639485236422e-07,0.13977599260423368,0.05682503983427379,7303.761012487264,0.5019181991759413
Sepsis Cases - Event Log,AggregateType.MIN,0.1,0.4013413909243025,5.177238592391526e-07,0.06916722192863849,0.030781198416478944,3966.6405871232073,0.4937414238475094
Sepsis Cases - Event Log,AggregateType.MIN,0.2,0.8109302162163288,1.066158071824683e-06,0.033990616595200966,0.016017961435748903,2289.8192796853614,0.4745135217686682
Sepsis Cases - Event Log,AggregateType.MIN,0.3,1.2380784168124463,1.5311924031529624e-06,0.021260760282055653,0.010227013603309337,1603.2150947162984,0.46698309704743884
Sepsis Cases - Event Log,AggregateType.MIN,0.4,1.6945957207744071,1.8738182606850332e-06,0.016532526170000336,0.008012482765081605,1203.202023125046,0.499770999453189
Sepsis Cases - Event Log,AggregateType.MIN,0.5,2.1972245773362196,2.208976655060545e-06,0.012699950213101295,0.006204455007101203,1063.2253543545617,0.42118559947598244
Sepsis Cases - Event Log,AggregateType.MIN,0.6,2.772588722239781,2.539799276994825e-06,0.010013332996022677,0.00491351734731755,915.8027014101223,0.3632720238390257
Sepsis Cases - Event Log,AggregateType.MIN,0.7,3.4692021107762123,2.920653874885756e-06,0.00797451950397194,0.003928091322333154,766.773553271224,0.3416957949085091
Sepsis Cases - Event Log,AggregateType.MIN,0.8,4.394449154672438,3.4454300511830645e-06,0.006508574232599033,0.003213418706851805,623.9979530886279,0.22361800108908592
Sepsis Cases - Event Log,AggregateType.MIN,0.9,5.888877958332882,4.610017522029775e-06,0.0045899844068473875,0.0022755376482372237,479.88997588132634,0.11345903658674002
Sepsis Cases - Event Log,AggregateType.MAX,0.01,0.040001333413339134,0.0004531566333754086,0.6834401440496136,0.1811660364210573,15.522544440617573,0.6252210253903032
Sepsis Cases - Event Log,AggregateType.MAX,0.05,0.20016691711396528,0.0022579211823184047,0.1364131679123157,0.05566407777751712,3.123609503749994,0.41946560800869326
Sepsis Cases - Event Log,AggregateType.MAX,0.1,0.4013413909243025,0.004523434259177573,0.07047573928428967,0.03119181790171793,1.578171265692515,0.3153945123236444
Sepsis Cases - Event Log,AggregateType.MAX,0.2,0.8109302162163288,0.009272449244235287,0.03456806970922806,0.016258030420120136,0.844612302957926,0.22637226398797983
Sepsis Cases - Event Log,AggregateType.MAX,0.3,1.2380784168124463,0.014304764173147057,0.022517068877642356,0.010812919389951775,0.5550942697756971,0.1749211812358443
Sepsis Cases - Event Log,AggregateType.MAX,0.4,1.6945957207744071,0.019474567849768143,0.01647849598451757,0.007988636379109277,0.4054197800741608,0.14068385652773718
Sepsis Cases - Event Log,AggregateType.MAX,0.5,2.1972245773362196,0.02535742358049252,0.012300278477910227,0.006010976944314509,0.30072411266012394,0.11057735788303026
Sepsis Cases - Event Log,AggregateType.MAX,0.6,2.772588722239781,0.03202585325233546,0.009812048347180474,0.0048159200792250115,0.23137631276777615,0.08950686603402222
Sepsis Cases - Event Log,AggregateType.MAX,0.7,3.4692021107762123,0.039444328671870116,0.00793909383493085,0.003910723688404807,0.1742446039311466,0.07038460206978267
Sepsis Cases - Event Log,AggregateType.MAX,0.8,4.394449154672438,0.05227751447057177,0.006471985427398054,0.003196727513023087,0.10489112875616184,0.04384688674588486
Sepsis Cases - Event Log,AggregateType.MAX,0.9,5.888877958332882,0.0666701057530838,0.004737289640023618,0.0023478592437297897,0.060653049708023155,0.026371717069608402
CreditRequirement,AggregateType.AVG,0.01,0.040001333413339134,4.548173518992186e-05,0.0019220558605834424,0.0009589422610772076,37.29284796170308,0.9064342244762138
CreditRequirement,AggregateType.AVG,0.05,0.20016691711396528,0.00015687293396995694,0.0011761452167406517,0.0005871777223940827,21.065308004146146,0.8513562175316768
CreditRequirement,AggregateType.AVG,0.1,0.4013413909243025,0.00023836909610759288,0.0001860927711441954,9.303497207372737e-05,4.940766782976774,0.5707524956042734
CreditRequirement,AggregateType.AVG,0.2,0.8109302162163288,0.0003423292200848848,0.0001453341934984833,7.265777703205776e-05,3.0994898736706387,0.5535476839210077
CreditRequirement,AggregateType.AVG,0.3,1.2380784168124463,0.0004172685366879137,0.00011482569048658963,5.740351743295267e-05,2.990043910524134,0.4725234875590985
CreditRequirement,AggregateType.AVG,0.4,1.6945957207744071,0.000481096479966493,7.887448333077154e-05,3.943488292303377e-05,2.6126744132247004,0.484007015808125
CreditRequirement,AggregateType.AVG,0.5,2.1972245773362196,0.0005412435862718183,5.181576861231807e-05,2.5906901397223518e-05,0.6515154641149178,0.21404566190846547
CreditRequirement,AggregateType.AVG,0.6,2.772588722239781,0.0006028624288620386,1.2516509317489339e-05,6.2581721552686504e-06,1.2930913733290244,0.29633957731293786
CreditRequirement,AggregateType.AVG,0.7,3.4692021107762123,0.0006719580503663595,3.2811012633829436e-05,1.6405034880703533e-05,1.3897470613263316,0.35246561337333526
CreditRequirement,AggregateType.AVG,0.8,4.394449154672438,0.0007601638189868883,1.0459195818089704e-05,5.22956094349817e-06,2.3587499480639704,0.45196973925363715
CreditRequirement,AggregateType.AVG,0.9,5.888877958332882,0.0009090632539167072,1.1728575332355093e-05,5.864240112885424e-06,2.1266568314568217,0.37078598414359004
CreditRequirement,AggregateType.SUM,0.01,0.040001333413339134,0.44854593969189904,0.001134583122664147,0.0005666342128373491,0.04573518032099233,0.022007998532823394
CreditRequirement,AggregateType.SUM,0.05,0.20016691711396528,1.5812791744171657,0.0004393948289727651,0.0002196146617583936,0.007788512890045689,0.0038574280017424564
CreditRequirement,AggregateType.SUM,0.1,0.4013413909243025,2.4027604887645357,0.00023052495049359682,0.00011522971391064751,0.004271392434636428,0.0021291724269324242
CreditRequirement,AggregateType.SUM,0.2,0.8109302162163288,3.450678538455638,9.781374002802835e-05,4.890353181920819e-05,0.003966716357189126,0.001974748529583462
CreditRequirement,AggregateType.SUM,0.3,1.2380784168124463,4.20606684981417,3.05453661664964e-05,1.5272253655135462e-05,0.001431553491411634,0.0007149591128098921
CreditRequirement,AggregateType.SUM,0.4,1.6945957207744071,4.8494525180622485,5.62256632842645e-05,2.8111099964620538e-05,0.0014754676248102572,0.0007369891128521109
CreditRequirement,AggregateType.SUM,0.5,2.1972245773362196,5.4557353496199275,4.438273651413765e-05,2.2190689669512644e-05,0.0009752949397076633,0.00048726950047708894
CreditRequirement,AggregateType.SUM,0.6,2.772588722239781,6.076853282929348,3.2121847064050615e-05,1.606056609114385e-05,0.0018040705779880392,0.0008996079410677901
CreditRequirement,AggregateType.SUM,0.7,3.4692021107762123,6.773337147692903,1.7416916021608806e-05,8.70826194333683e-06,0.0010762343743530045,0.0005371817324898222
CreditRequirement,AggregateType.SUM,0.8,4.394449154672438,7.662451295387833,3.098616308755795e-05,1.549273880475377e-05,0.001041441372353727,0.0005201595711153685
CreditRequirement,AggregateType.SUM,0.9,5.888877958332882,9.163357599480408,1.536619472140877e-05,7.683017864272172e-06,0.0005507147166278673,0.0002752009611543981
CreditRequirement,AggregateType.MIN,0.01,0.040001333413339134,1.0383007863238405e-05,0.0007562317720618592,0.0003779298550172835,4814.180939183941,0.995730901870424
CreditRequirement,AggregateType.MIN,0.05,0.20016691711396528,4.772167661214607e-05,0.0005665299385800966,0.0002831295400682875,1830.15521659804,0.9952824229494907
CreditRequirement,AggregateType.MIN,0.1,0.4013413909243025,8.77540118523937e-05,0.0002463128067266786,0.0001231389195854971,337.14816520310706,0.9432753351462122
CreditRequirement,AggregateType.MIN,0.2,0.8109302162163288,0.00015543148191189,0.00011733662834359797,5.8661814227684414e-05,286.5522391919839,0.985578305090388
CreditRequirement,AggregateType.MIN,0.3,1.2380784168124463,0.0002152317126508776,0.0001049911746833762,5.24921471748945e-05,346.6661501437765,0.9891387419996736
CreditRequirement,AggregateType.MIN,0.4,1.6945957207744071,0.0002731733231948261,0.0001444764115166505,7.222780818093642e-05,335.4232989253098,0.8555038220876493
CreditRequirement,AggregateType.MIN,0.5,2.1972245773362196,0.0003341881129584104,7.010311264291013e-05,3.504887671969022e-05,335.0201410395758,0.9802957774422127
CreditRequirement,AggregateType.MIN,0.6,2.772588722239781,0.00040507410681303493,7.552249840817981e-05,3.775835605790099e-05,116.54692855896724,0.9733052214389311
CreditRequirement,AggregateType.MIN,0.7,3.4692021107762123,0.0005014358700067756,2.2633803040715652e-05,1.1316692438186245e-05,220.6366044008569,0.9398530213834536
CreditRequirement,AggregateType.MIN,0.8,4.394449154672438,0.0006509336506424703,3.5936537163124084e-05,1.7967339858674087e-05,222.23793761999167,0.8589475786645056
CreditRequirement,AggregateType.MIN,0.9,5.888877958332882,0.0008750733874727786,2.4186724482808488e-05,1.2093095933535342e-05,134.71553002007388,0.9022161962604356
CreditRequirement,AggregateType.MAX,0.01,0.040001333413339134,0.014951531323063302,0.0015847710712145007,0.0007915454649779789,6.444075794723573,0.5765061246829096
CreditRequirement,AggregateType.MAX,0.05,0.20016691711396528,0.06871921432149035,0.00038168509752334545,0.00019077036624542818,2.043457846196904,0.42456582526869535
CreditRequirement,AggregateType.MAX,0.1,0.4013413909243025,0.12636577706744692,0.0002194542170582035,0.00010970656855964108,1.5605244071469677,0.3928978121762764
CreditRequirement,AggregateType.MAX,0.2,0.8109302162163288,0.22382133395312157,0.0001288399092068803,6.441461213100205e-05,1.1897042413464736,0.32618646088969727
CreditRequirement,AggregateType.MAX,0.3,1.2380784168124463,0.30993366621726376,4.680300432234123e-05,2.3400651698433228e-05,1.0159625799852714,0.2833702050499386
CreditRequirement,AggregateType.MAX,0.4,1.6945957207744071,0.39336958540054956,8.961236099113528e-05,4.4802752948516235e-05,0.3214182045451362,0.10930908295960166
CreditRequirement,AggregateType.MAX,0.5,2.1972245773362196,0.48123088266011094,6.670496984389133e-05,3.3350964800249415e-05,0.41589382936193015,0.16238341848176854
CreditRequirement,AggregateType.MAX,0.6,2.772588722239781,0.5833067138107703,2.6626293117709584e-05,1.3312853789047144e-05,0.43200373766734623,0.15604936015154552
CreditRequirement,AggregateType.MAX,0.7,3.4692021107762123,0.7220676528097568,3.136795086132968e-05,1.568363417942347e-05,0.22810394158933858,0.09096566673252315
CreditRequirement,AggregateType.MAX,0.8,4.394449154672438,0.937344456925157,1.774471038967779e-05,8.872199995982536e-06,0.08788654788399822,0.04129931119083675
CreditRequirement,AggregateType.MAX,0.9,5.888877958332882,1.260105677960801,1.4055050856169424e-05,7.027423516639649e-06,0.1419246444558307,0.06301292186663385
